"nid"	"departamento_code"	"departamento_name"	"id"	"municipio_name"	"km2"	"habtotkm2"	"habrurkm2"	"pob2012t"	"pob2012ur"	"pob2012ru"	"pob2015t"	"pob2015ur"	"pob2015ru"	"municipio_capital_name"	"lat"	"lon"	"dms_lat"	"dms_lon"	"asnm"	"pob1963t"	"pob1963ur"	"pob1963ru"	"pob1971t"	"pob1971ur"	"pob1971ru"	"pob1995t"	"pob1995ur"	"pob1995ru"	"pob2005t"	"pob2005ur"	"pob2005ru"	"pob2008ur"	"pob2008ru"	"pob2008t"	"pob2009ur"	"pob2009ru"	"pob2009t"	"MACROREGIO"	"DEPTO"	"MUNICIPIO"	"POB_06"	"PURB_06"	"PRUR_06"	"POB_07"	"PURB_07"	"PRUR_07"	"POB_08"	"PURB_08"	"PRUR_08"	"POB_09"	"PURB_09"	"PRUR_09"	"POB_10"	"PURB_10"	"PRUR_10"	"POB_11"	"PURB_11"	"PRUR_11"	"POB_12"	"PURB_12"	"PRUR_12"	"POB_13"	"PURB_13"	"PRUR_13"	"POB_14"	"PURB_14"	"PRUR_14"
1	5	Nueva Segovia 	505	Jalapa	686.88	93.7849406	48.62712555	64419	31018	33401	67205	35755	31450	Jalapa	13.91666667	-86.11666667	135500	-860700	679	8602	1868	6734	15725	3604	12121	44333	23005	21328	57403	25731	31672	29034	32429	61463	29945	32244	62189	central	NUEVA SEGOVIA	Jalapa	58370	26657	31713	59348	27610	31738	60338	28591	31747	61341	29626	31715	62355	30662	31692	63381	31690	31691	64419	32736	31683	65340	33731	31609	66268	34738	31530
2	5	Nueva Segovia 	510	Murra	429.13	39.89001002	36.1778482	17118	1593	15525	17878	1846	16032	Murra	13.75	-86.01666667	134500	-860100	750	4283	226	4057	8540	340	8200	11394	525	10869	15214	1348	13865	1498	14813	16311	1537	14970	16507	central	NUEVA SEGOVIA	Murra	15476	1389	14086	15741	1432	14309	16010	1475	14535	16282	1521	14761	16557	1566	14991	16836	1614	15222	17118	1666	15452	17369	1720	15649	17623	1780	15843
3	5	Nueva Segovia 	515	El Jícaro	428.78	71.01310695	51.78413172	30449	8245	22204	31224	9000	22224	El Jícaro	13.71666667	-86.13333333	134300	-860800	580	7593	1114	6479	9729	1655	8074	24085	6719	17366	28243	7364	20879	7484	20450	27934	7625	20531	28156	central	NUEVA SEGOVIA	El Jicaro	28555	7522	21033	28867	7681	21186	29181	7842	21339	29496	8012	21484	29813	8175	21637	30130	8339	21792	30449	8507	21941	30707	8666	22042	30966	8830	22136
4	5	Nueva Segovia 	520	San Fernando	236	43.6059322	22.09322034	10291	5077	5214	10874	5172	5702	San Fernando	13.66666667	-86.31666667	134000	-861900	729	1079	479	600	2263	632	1631	6271	2304	3967	8900	4506	4394	4704	4781	9485	4758	4886	9644	central	NUEVA SEGOVIA	San Fernando	9089	4576	4513	9281	4645	4636	9476	4714	4762	9675	4787	4887	9877	4857	5020	10082	4923	5159	10291	4990	5301	10483	5049	5434	10677	5109	5568
5	5	Nueva Segovia 	525	Mozonte	218	36.17431193	26.6146789	7886	2084	5802	8279	2188	6091	Mozonte	13.65	-86.43333333	133900	-862600	693	2161	271	1890	2395	391	2004	5328	1436	3892	6925	1843	5082	1975	5494	7469	2000	5565	7565	central	NUEVA SEGOVIA	Mozonte	7056	1876	5181	7190	1910	5280	7325	1943	5382	7462	1979	5483	7601	2013	5588	7743	2046	5697	7886	2081	5805	8015	2115	5901	8146	2149	5997
6	5	Nueva Segovia 	530	Dipilto	104.9	57.25452812	54.32793136	6006	307	5699	6326	547	5778	Dipilto	13.71666667	-86.5	134300	-863000	882	2247	374	1873	1745	182	1563	3934	267	3667	5234	179	5055	262	5404	5666	294	5449	5743	central	NUEVA SEGOVIA	Dipilto	5339	202	5137	5446	228	5218	5554	258	5297	5665	291	5374	5777	328	5449	5890	367	5523	6006	409	5597	6111	453	5658	6218	499	5719
7	5	Nueva Segovia 	535	Macuelizo	254.59	25.8061982	24.43929455	6570	348	6222	6775	528	6247	Macuelizo	13.65	-86.6	133900	-863600	700	2488	155	2333	2541	158	2383	4753	202	4551	6016	244	5771	314	6040	6354	340	6077	6417	central	NUEVA SEGOVIA	Macuelizo	6093	265	5828	6171	287	5884	6250	310	5940	6329	336	5993	6409	364	6045	6489	393	6096	6570	424	6146	6638	456	6182	6706	491	6215
8	5	Nueva Segovia 	540	Santa María	157.53	30.17203072	26.23627246	4753	620	4133	4874	695	4179	Santa María	13.73333333	-86.7	134400	-864200	770	2912	267	2645	3082	332	2750	3718	410	3308	4409	549	3860	594	4021	4615	608	4050	4658	central	NUEVA SEGOVIA	Santa Maria	4457	562	3895	4506	575	3931	4555	588	3967	4604	603	4002	4654	616	4038	4703	630	4073	4753	645	4108	4793	660	4133	4834	677	4157
9	5	Nueva Segovia 	545	Ocotal	85.23	491.3176112	27.50205327	41875	39531	2344	44249	43183	1066	Ocotal	13.63333333	-86.46666667	133800	-862800	605	4573	4339	234	8742	7734	1008	27543	26685	858	36216	35424	792	37391	1814	39205	37549	2226	39775	central	NUEVA SEGOVIA	Ocotal	36983	36173	810	37764	36936	828	38558	37711	848	39367	38498	868	40189	39298	890	41025	40101	924	41875	40916	959	42655	41663	993	43446	42418	1028
10	5	Nueva Segovia 	550	Ciudad Antigua	147.22	39.32889553	27.16342888	5790	1791	3999	6198	1994	4204	Ciudad Antigua	13.63333333	-86.3	133800	-861800	640	1536	415	1121	1352	421	931	3455	1129	2326	4859	1470	3389	1647	3714	5361	1685	3762	5447	central	NUEVA SEGOVIA	Ciudad Antigua	4983	1517	3466	5110	1566	3545	5240	1615	3625	5373	1667	3706	5509	1719	3790	5648	1772	3876	5790	1827	3963	5923	1881	4043	6059	1936	4124
11	5	Nueva Segovia 	555	Quilalí	345.02	88.16300504	63.4890731	30418	8513	21905	31724	9495	22229	Quilalí	13.56666667	-86.01666667	133400	-860100	430	8426	710	7716	9670	1293	8377	21408	8123	13285	27124	7281	19843	8031	21000	29031	8221	21153	29374	central	NUEVA SEGOVIA	Quilali	27578	7487	20091	28038	7696	20342	28503	7909	20594	28973	8133	20840	29449	8354	21095	29931	8576	21354	30418	8807	21611	30850	9028	21822	31285	9258	22027
12	5	Nueva Segovia 	560	Wiwilí de Nueva Segovia	398	43.81658291	33.70854271	17439	4023	13416	17883	4685	13198	Wiwilí	13.61666667	-86.81666667	133700	-864900	300	0	0	0	0	0	0	16176	0	16176	16176	3430	12746	3849	13208	17057	3968	13230	17198	central	NUEVA SEGOVIA	Wiwili de Nueva Segovia	16354	3544	12810	16533	3662	12871	16713	3783	12930	16894	3910	12984	17075	4037	13038	17257	4164	13092	17439	4295	13144	17587	4422	13165	17735	4551	13184
13	10	Jinotega 	1005	Wiwilí de Jinotega	2370.08	30.3124789	26.29615878	71843	9519	62324	73672	11949	61723	Wiwilí de Jinotega 	13.61666667	-85.81666667	133700	-854900	295	0	0	0	0	0	0	60395	6329	54066	66640	7600	59040	8216	56092	64308	8742	57236	65978	central	JINOTEGA	Wiwili de Jinotega	67374	7993	59381	68112	8401	59711	68853	8824	60029	69596	9249	60347	70343	9698	60644	71092	10147	60944	71843	10605	61238	72453	11048	61406	73063	11497	61566
14	10	Jinotega 	1010	El Cuá	636.91	89.33287278	80.08352829	56897	5891	51006	58345	8284	50061	El Cuá	13.36666667	-85.66666667	132200	-854000	600	0	0	0	0	0	0	70143	3701	66442	52776	4282	48494	4939	45709	50648	5385	46619	52004	central	JINOTEGA	El Cua	53358	4611	48747	53942	4962	48981	54529	5334	49195	55118	5725	49393	55709	6144	49565	56302	6568	49734	56897	7000	49897	57380	7424	49956	57863	7852	50011
15	10	Jinotega 	1012	San José de Bocay	3990.4	13.69887731	12.15442061	54664	6163	48501	60059	9051	51008	San José de Bocay	13.53333333	-85.53333333	133200	-853200	300	0	0	0	0	0	0	43167	0	43167	43167	3895	39271	5195	43466	48661	5634	44330	49964	central	JINOTEGA	San Jose de Bocay	44658	4269	40388	46197	4676	41521	47785	5117	42668	49425	5590	43835	51117	6108	45009	52863	6649	46214	54664	7219	47445	56411	7803	48608	58209	8414	49795
16	10	Jinotega 	1015	Santa María de Pantasma	559.95	89.39548174	77.32476114	50057	6759	43298	52107	7836	44272	Pantasma	13.35	-85.93333333	132100	-855600	420	0	0	0	0	0	0	35436	2619	32817	44835	5622	39213	5484	35841	41325	5683	36399	42082	central	JINOTEGA	Santa Maria de Pantasma	45556	5832	39724	46286	6045	40241	47024	6260	40764	47770	6471	41299	48524	6690	41834	49287	6912	42375	50057	7141	42916	50736	7365	43370	51419	7597	43822
17	10	Jinotega 	1020	San Rafael del Norte	232.84	88.99673596	64.54646968	20722	5693	15029	21571	5923	15648	San Rafael del Norte	13.2	-86.1	131200	-860600	1078	6370	1298	5072	7150	1599	5551	14772	3202	11570	18560	5075	13485	5371	14178	19549	5470	14437	19907	central	JINOTEGA	San Rafael del Norte	18859	5174	13685	19161	5271	13890	19466	5365	14101	19775	5450	14325	20087	5539	14548	20403	5622	14781	20722	5705	15017	21003	5778	15225	21286	5851	15435
18	10	Jinotega 	1025	San Sebastián de Yalí	400.86	80.92850372	67.01591578	32441	5577	26864	34280	6351	27929	San Sebastián de Yalí	13.3	-86.18333333	131800	-861100	851	8877	998	7879	9557	1491	8066	21270	2971	18299	28057	4573	23484	5107	24966	30073	5278	25422	30700	central	JINOTEGA	San Sebastian de Yali	28651	4742	23910	29256	4915	24342	29872	5089	24783	30498	5259	25239	31135	5437	25697	31782	5615	26167	32441	5800	26641	33045	5978	27067	33658	6161	27497
19	10	Jinotega 	1030	La Concordia	151.02	47.67580453	37.13415442	7200	1592	5608	7273	1554	5719	La Concordia	13.18333333	-86.16666667	131100	-861000	899	3535	794	2741	4014	922	3092	7508	1500	6008	6916	1560	5356	1566	5473	7039	1577	5554	7131	central	JINOTEGA	La Concordia	6958	1565	5393	6999	1569	5430	7040	1571	5469	7080	1571	5510	7120	1571	5550	7160	1569	5591	7200	1567	5633	7225	1562	5663	7249	1558	5691
20	10	Jinotega 	1035	Jinotega	880.34	140.3412318	83.62678056	123548	49928	73620	131106	51876	79230	Jinotega	13.08333333	-86	130500	-860000	1003	58153	7693	50460	69919	10235	59684	82807	33053	49754	105801	43016	62785	46403	68127	114530	47249	69669	116918	central	JINOTEGA	Jinotega	108195	44014	64181	110635	45002	65634	113122	45974	67148	115656	46880	68776	118238	47818	70420	120869	48704	72164	123548	49583	73965	126028	50357	75671	128547	51120	77426
21	20	Madriz 	2005	Somoto	466.18	80.95799906	37.66785362	37741	20181	17560	38532	20613	17919	Somoto	13.48333333	-86.58333333	132900	-863500	700	12255	3967	8288	14412	5579	8833	30286	14941	15345	35368	18838	16531	19654	17138	36792	19849	17271	37120	central	MADRIZ	Somoto	35706	19059	16647	36044	19278	16766	36383	19495	16887	36722	19695	17026	37061	19908	17154	37401	20091	17310	37741	20267	17474	38006	20392	17614	38270	20508	17761
22	20	Madriz 	2010	Totogalpa	133.13	106.339668	88.29715316	14157	2402	11755	15006	3075	11931	Totogalpa	13.55	-86.48333333	133300	-862900	660	4985	522	4463	4380	781	3599	9050	1532	7518	12155	1815	10340	2171	11039	13210	2276	11135	13411	central	MADRIZ	Totogalpa	12426	1918	10508	12701	2026	10675	12982	2140	10842	13268	2258	11009	13559	2384	11175	13855	2513	11342	14157	2649	11508	14436	2785	11650	14719	2928	11791
23	20	Madriz 	2015	Telpaneca	353.28	61.9678442	48.38088768	21892	4800	17092	22789	5656	17133	Telpaneca	13.51666667	-86.28333333	133100	-861700	500	13095	1982	11113	8075	1001	7074	15676	1947	13729	19608	3961	15647	4488	16402	20890	4636	16504	21140	central	MADRIZ	Telpaneca	19924	4113	15810	20243	4270	15972	20565	4432	16133	20892	4595	16296	21222	4767	16454	21555	4940	16615	21892	5119	16773	22189	5292	16896	22488	5472	17016
24	20	Madriz 	2020	San Juan de Río Coco	181.65	165.5931737	112.7993394	30080	9590	20490	2161	1501	660	San Juan de Río Coco	13.53333333	-86.16666667	133200	-861000	840	599	199	400	721	721	0	361	317	44	1522	1172	350	7494	16183	23677	7673	16394	24067	Atlantico	RIO SAN JUAN	San Juan del Norte	1578	1204	374	1636	1238	398	1695	1271	424	1757	1305	452	1821	1340	481	1887	1374	513	1955	1408	547	2022	1439	583	2090	1470	620
25	20	Madriz 	2025	Palacagüina	156.53	95.84744139	63.45109564	15003	5071	9932	15156	5358	9798	Palacagüna	13.45	-86.4	132700	-862400	560	4701	995	3706	5774	1316	4458	13330	4226	9104	14412	4725	9688	4862	9632	14494	4949	9693	14642	central	MADRIZ	Palacaguina	14498	4795	9703	14584	4865	9719	14669	4936	9733	14753	5002	9752	14837	5071	9766	14921	5136	9785	15003	5200	9803	15055	5254	9801	15106	5306	9800
26	20	Madriz 	2030	Yalagüina	70.92	163.3530739	133.6858432	11585	2104	9481	12188	2476	9712	Yalagüna	13.48333333	-86.5	132900	-863000	694	3503	355	3148	3258	532	2726	7968	1781	6187	10123	1714	8409	1946	8959	10905	2009	9048	11057	central	MADRIZ	Yalaguina	10322	1780	8542	10524	1849	8675	10730	1921	8809	10939	1994	8945	11151	2069	9082	11366	2147	9220	11585	2227	9358	11784	2307	9476	11985	2390	9594
27	20	Madriz 	2035	San Lucas	152.08	97.84981589	80.97054182	14881	2567	12314	15423	2936	12487	SanLucas	13.4	-86.6	132400	-863600	790	6075	377	5698	6723	466	6257	10923	611	10312	13466	2188	11278	2423	11832	14255	2488	11930	14418	central	MADRIZ	San Lucas	13662	2257	11405	13861	2326	11535	14061	2397	11664	14264	2469	11795	14468	2543	11924	14673	2618	12055	14881	2697	12184	15061	2773	12287	15241	2853	12389
28	20	Madriz 	2040	Las Sabanas	64.54	75.85993183	58.98667493	4896	1089	3807	4946	1147	3799	Las Sabanas	13.33333333	-86.61666667	132000	-863700	1260	1760	202	1558	1717	272	1445	4621	950	3671	4703	1021	3682	1046	3684	4730	1063	3715	4778	central	MADRIZ	Las Sabanas	4731	1034	3697	4759	1048	3712	4787	1062	3725	4815	1074	3740	4842	1088	3754	4869	1101	3769	4896	1113	3783	4913	1124	3789	4930	1135	3794
29	20	Madriz 	2045	San José de Cusmapa	129.92	59.92149015	47.30603448	7785	1639	6146	7983	1862	6121	San José de Cusmapa	13.28333333	-86.65	131700	-863900	1280	3855	252	3603	4237	465	3772	5859	1151	4708	7221	1424	5797	1559	5964	7523	1601	5999	7600	central	MADRIZ	San Jose de Cusmapa	7301	1466	5835	7381	1508	5873	7461	1551	5910	7542	1593	5948	7622	1637	5985	7704	1682	6022	7785	1728	6057	7851	1772	6079	7917	1816	6101
30	25	Estelí 	2505	Pueblo Nuevo	202.62	115.5364722	95.25219623	23410	4110	19300	23649	4560	19089	Pueblo Nuevo	13.36666667	-86.48333333	132200	-862900	606	9426	1237	8189	10552	1592	8960	21324	3110	18214	22488	3751	18737	3990	19044	23034	4063	19079	23142	central	ESTELI	Pueblo Nuevo	22622	3826	18797	22756	3901	18855	22889	3977	18912	23021	4054	18967	23151	4132	19020	23281	4211	19070	23410	4296	19114	23491	4377	19114	23571	4465	19106
31	25	Estelí 	2510	Condega	370.84	81.72527235	52.80174738	30307	10726	19581	30616	11235	19380	Condega	13.35	-86.38333333	132100	-862300	560	12439	2229	10210	13131	3399	9732	25786	8053	17733	29113	10101	19012	10545	19422	29967	10648	19438	30086	central	ESTELI	Condega	29287	10220	19067	29460	10340	19120	29632	10459	19173	29803	10580	19223	29972	10699	19273	30140	10813	19328	30307	10929	19378	30412	11026	19386	30515	11128	19387
